"Model","Cosine Similarity","Scaled Euclidean Distance","Scaled Manhattan Distance","Scaled Minkowski Distance","Topsis Score","Rank"
"M1","0.96640944480896","0.5813794732093811","0.5658432841300964","0.5913805961608887","0.26481662623440616","5.0"
"M2","0.8987810015678406","0.4522931575775146","0.4572265148162842","0.4495686292648315","0.7442183252589177","2.0"
"M3","0.9404336810112","0.5074961185455322","0.5137660503387451","0.5049641728401184","0.5458391091641522","4.0"
"M4","0.9150983691215516","0.4506586790084839","0.437509536743164","0.4662701189517975","0.794240797415984","1.0"
"M5","0.8892672061920166","0.4881958067417145","0.5010740160942078","0.4798047542572021","0.5791213169139614","3.0"
